word	segments	num_segments	sentence
äänestämään	äänestä-mä-än	3	Menemme huomenna äänestämään vaaleissa.
äänimäärän	ääni-määrä-n	3	Hän voitti vaalit suurella äänimäärän erolla.
aikoina	aiko-i-na	3	Viime aikoina olen lukenut paljon kirjoja.
aikojen	aiko-j-en	3	Tämä on parhaita hetkiä ihmisen elämässä.
ajateltua	ajatel-tu-a	3	Voikin olla paljon ajateltua vaikeampaa kiivetä vuoren päälle.
aktivoituneet	aktivoitu-nee-t	3	Immuunijärjestelmämme solut ovat aktivoituneet taistelemaan infektiota vastaan.
alapuolelle	ala-puole-lle	3	Hän asetti kirjan pöydän alapuolelle.
antavaa	anta-va-a	3	Tämä on antavaa ja otavaa suhdetta vaativa tilanne.
asioita	asio-i-ta	3	On monia asioita, joita en ymmärrä tässä maailmassa.
asuntolainaa	asunto-laina-a	3	Hän haki pankista asuntolainaa ostaa uuden talon.
eiköhän	ei-kö-hän	3	Eiköhän meidän pitäisi lähteä jo kotiin.
ensin	ens-i-n	3	Sinun täytyy ensin oppia kävelemään ennen kuin voit juosta.
europarlamentaarikkoa	euro-parlamentaarikko-a	3	Kansa äänesti entistä europarlamentaarikkoa sankoin joukoin.
europarlamenttipaikkaa	euro-parlamenttipaikka-a	3	Hän kampanjoi aktiivisesti saamatta kuitenkaan europarlamenttipaikkaa.
eurovaaleja	eurovaale-j-a	3	Eurovaaleja ei ole sopivaa jättää väliin.
hyvillä	hyv-i-llä	3	Olen hyvillä mielin, koska sain työpaikan.
itselleen	itse-lle-en	3	Hän osti itselleen uuden auton.
jääneet	jää-nee-t	3	Monet tehtävät ovat jääneet tekemättä.
jalkojen	jalko-j-en	3	Jalkojen anatomia eroaa huomattavasti esimerkiksi sisäelinten anatomiasta.
keräämää	kerää-mä-ä	3	Ihmisten keräämää kulttuuriperintöä osattiin siirtää eteenpäin jo ennen kirjoitustaidon kehittymistä.
keskiviikkona	keski-viikko-na	3	Tapasin hänet keskiviikkona kaupungilla.
keskuspankin	keskus-panki-n	3	Keskuspankin tehtävänä on säädellä maan rahapolitiikkaa.
kielitieteeseen	kieli-tietee-seen	3	Hänen mielenkiintonsa ja intohimonsa kohdistui erityisesti kielitieteeseen.
kokopitkän	koko-pitkä-n	3	Hän katsoi kokopitkän elokuvan ilman taukoja.
korkeimmillaankin	korkeimmilla-an-kin	3	Korkeimmillaankin hinta oli ainoastaan muutamia kymppejä.
kortein	korte-i-n	3	Isäni pelasi aina avoimin kortein.
koviksi	kov-i-ksi	3	Pakkasen vuoksi vesi muuttui koviksi jääkuutioiksi.
kymmenkertaisena	kymmen-kertaise-na	3	Hän palasi kotiin kymmenkertaisena mestarina.
kysymyksiä	kysymyks-i-ä	3	Minulla on muutamia kysymyksiä sinulle.
lähtevät	lähte-vä-t	3	Junat lähtevät asemalta tunnin välein.
liittymisestä	liitty-mise-stä	3	Hän kysyi minulta salaseuraan liittymisestä.
luokitellaankin	luokitel-laan-kin	3	Tehtävä ei ole monimutkainen ja se luokitellaankin usein helpoksi.
miltäköhän	miltä-kö-hän	3	Miltäköhän se maistuu?
monissa	mon-i-ssa	3	Monissa maissa on erilaisia kulttuureja ja tapoja.
nousseet	nous-see-t	3	Hinnat ovat nousseet viime kuukausina.
objektiivisemman	objektiivise-mma-n	3	Hän pyrkii saamaan objektiivisemman kuvan tilanteesta.
ollaankin	ol-laan-kin	3	Siellä ollaankin oltu valmiina jo hyvän aikaa.
omistavan	omista-va-n	3	Näin siellä auton omistavan miehen.
onkohan	on-ko-han	3	Onkohan hän jo saapunut?
päiviä	päiv-i-ä	3	Olen ollut täällä jo useita päiviä.
paljokohan	paljo-ko-han	3	Paljokohan toi kirja maksaa?
pitäisikö	pitä-isi-kö	3	Pitäisikö meidän mennä elokuviin tänä iltana?
prosenttiyksikköä	prosentti-yksikkö-ä	3	Inflaatio nousi viime kuussa kaksi prosenttiyksikköä.
puolueellisuusspekulaatioita	puolueellisuusspekulaatio-i-ta	3	Oikeudenkäyntiin liittyi mediajulkisuudesta johtuen lukuisia puolueellisuusspekulaatioita.
puoluekokouksessa	puolue-kokoukse-ssa	3	Hän puhui puoluekokouksessa ensimmäistä kertaa ehdokkaana.
rakensivat	rakens-i-vat	3	He rakensivat uuden talon kaupungin keskustaan.
satoihin	sato-i-hin	3	Hänellä on pääsy satoihin erilaisiin kirjoihin.
soitellaankin	soitel-laan-kin	3	Huomenna soitellaankin sitten pitkästä aikaa.
suhteutettuna	suhteutet-tu-na	3	Suhteutettuna väkilukuun, Suomessa on enemmän metsää kuin missään muussa Euroopan maassa.
tahtovat	tahto-va-t	3	Lapset tahtovat mennä ulos leikkimään.
tarkoitetut	tarkoitet-u-t	3	Opiskeluun tarkoitetut tilat löytyvät tuolta nurkan takaa.
tehtävätkin	tehtävä-t-kin	3	Tehtävätkin tuntuvat vaikealta, kun huoneessa on kuuma.
tehtäviä	tehtäv-i-ä	3	Ylioppilaskirjoituksissa oli viime vuonna paljon vaikeita tehtäviä.
tekemään	teke-mä-än	3	Hän meni keittiöön tekemään aamiaista.
tietokoneella	tieto-konee-lla	3	Hän työskentelee tietokoneella koko päivän.
tilanneet	tilan-nee-t	3	He ovat tilanneet kaiken tarvittavan.
todennäköisenä	toden-näköise-nä	3	Pidän hyvin todennäköisenä, että hän voittaa kilpailun.
toimiiko	toimi-i-ko	3	Toimiiko uusi tietokoneesi kunnolla?
toukokuun	touko-kuu-n	3	Toukokuun kymmenes päivä on äitienpäivä.
tulleet	tul-lee-t	3	Olemme tulleet juhlimaan kanssasi.
tuotevalikoiman	tuote-valikoima-n	3	Yrityksen laaja tuotevalikoiman houkuttelee monia asiakkaita.
tutkijanuraa	tutkijan-ura-a	3	Hän on luonut tutkijanuraa Englannissa.
uurnille	uurn-i-lle	3	Menimme uurnille laskemaan kukkia.
vaalikaudella	vaali-kaude-lla	3	Presidentti teki merkittäviä päätöksiä viime vaalikaudella.
vähäisiä	vähäis-i-ä	3	Hänellä on vain vähäisiä mahdollisuuksia voittaa peli.
vahvuuksia	vahvuuks-i-a	3	Jokaisella meistä on joitain vahvuuksia.
viestivät	viesti-vä-t	3	He viestivät minulle uutisia kotikaupungistani.
vuosista	vuos-i-sta	3	Kiitos ihanista vuosista opiskeluaikoinamme!
