word	segments	num_segments	sentence
ehtisinköhän	eht-isi-n-kö-hän	5	Ehtisinköhän vielä käydä kaupassa ennen junan saapumista?
heräsinköhän	heräs-i-n-kö-hän	5	Herasinköhän liian aikaisin tänä aamuna?
innostuinpas	innostu-i-n-pa-s	5	Innostuinpas todella uudesta harrastuksestani.
johtuneekohan	johtu-ne-e-ko-han	5	Johtuneekohan tämä viivästys huonosta säästä?
kaksitasokuvauksiaan	kaksi-tasokuvauks-i-a-an	5	Taiteilija esitteli uusimpia kaksitasokuvauksiaan näyttelyssä.
kallistuvatkohan	kallistu-va-t-ko-han	5	Kallistuvatkohan nuo puut tuulen mukana?
käsititköhän	käsit-i-t-kö-hän	5	Käsititköhän, mitä hän juuri sanoi?
kokeilinkohan	kokeil-i-n-ko-han	5	Kokeilinkohan uutta reseptiä jo viime viikolla?
kuorsaavatkohan	kuorsaa-va-t-ko-han	5	Kuorsaavatkohan he kovaa yöllä?
lähtökohdistaan	lähtö-kohd-i-sta-an	5	Jokainen ihminen tarkastelee maailmaa omista lähtökohdistaan.
lapsillaankaan	laps-i-lla-an-kaan	5	Lapsillaankaan ei ole ratkaisuja kaikkiin ongelmiin.
leikkivätköhän	leikki-vä-t-kö-hän	5	Leikkivätköhän lapset jo ulkona?
löytäisinköhän	löytä-isi-n-kö-hän	5	Löytäisinköhän avaimeni tästä sotkusta?
mahtaisinkohan	mahta-isi-n-ko-han	5	Mahtaisinkohan löytää paremman työpaikan, jos muuttaisin toiseen kaupunkiin?
mahtoivatkohan	mahto-i-vat-ko-han	5	Mahtoivatkohan he ymmärtää ohjeet oikein?
mielipiteitään	mieli-pite-i-tä-än	5	Hän ei pelkää ilmaista mielipiteitään avoimesti.
millaisillakohan	millais-i-lla-ko-han	5	Millaisillakohan perusteilla he valitsivat uuden johtajan?
muuttuvatkohan	muuttu-va-t-ko-han	5	Muuttuvatkohan sääolosuhteet huomenna paremmiksi?
näitköhän	nä-i-t-kö-hän	5	Näitköhän sinä minun avaimeni?
napsautinpas	napsaut-i-n-pa-s	5	Napsautinpas sähköpostin auki uteliaisuudesta.
ohjauskorkojaan	ohjaus-korko-j-a-an	5	Euroopan keskuspankki on päättänyt nostaa ohjauskorkojaan inflaation hillitsemiseksi.
olinkohan	ol-i-n-ko-han	5	Olinkohan liian ankara hänelle?
olinpas	ol-i-n-pa-s	5	Olinpas onnellinen, kun sain uuden työpaikan.
olisivatkohan	ol-isi-vat-ko-han	5	Olisivatkohan he jo lähteneet kotiin?
olitkohan	ol-i-t-ko-han	5	Olitkohan sinä eilen kaupungilla?
olivatkohan	ol-i-vat-ko-han	5	Olivatkohan he jo lähteneet kotiin?
osaavatkohan	osaa-va-t-ko-han	5	Osaavatkohan he puhua suomea?
osaisinkohan	osa-isi-n-ko-han	5	Osaisinkohan minä koskaan oppia soittamaan pianoa?
osaisitkohan	osa-isi-t-ko-han	5	Osaisitkohan sinä auttaa minua tämän tehtävän kanssa?
osasinkohan	osas-i-n-ko-han	5	Osasinkohan selittää asian tarpeeksi selkeästi?
osasinpas	osas-i-n-pa-s	5	Osasinpas vain puhua suomea paremmin.
päädyinköhän	päädy-i-n-kö-hän	5	Päädyinköhän todella tänne ilman karttaa?
pääsisinköhän	pääs-isi-n-kö-hän	5	Pääsisinköhän huomenna jo töistä aikaisemmin kotiin?
pelkäävätköhän	pelkää-vä-t-kö-hän	5	Pelkäävätköhän lapset pimeää?
perustuslakivaliokunnan	perustus-laki-valio-kunna-n	5	Perustuslakivaliokunnan tehtävä on tarkastella lakiehdotusten perustuslainmukaisuutta.
pystyisinköhän	pysty-isi-n-kö-hän	5	Pystyisinköhän tekemään tämän työn yksin?
