word	segments	num_segments	sentence
äännevaihteluiden	äänne-vaihtelu-i-den	4	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
aiheuttaakohan	aiheutta-a-ko-han	4	Aiheuttaakohan tämä lääke sivuvaikutuksia?
ajattelevia	ajattele-v-i-a	4	Hän vetää puoleensa samalla tavoin ajattelevia ihmisiä.
ajattelikohan	ajattel-i-ko-han	4	Ajattelikohan hän koskaan palata kotiin?
auttaisikohan	autta-isi-ko-han	4	Auttaisikohan se, jos soittaisin tekniseen tukeen?
ehtisköhän	eht-is-kö-hän	4	Ehtisköhän sitä vielä ostaa ruokaa ennen kaupan sulkemista?
ennallistamissääntelylle	ennallista-mis-sääntely-lle	4	Hallitus on asettanut uusia rajoituksia ennallistamissääntelylle.
esitutkintapöytäkirjat	esi-tutkintapöytä-kirja-t	4	Esitutkintapöytäkirjat ovat kaikkien nähtävillä osana oikeudenkäyntiä.
EU-vaalien	EU-vaal-i-en	4	EU-vaalien tulokset julkaistaan huomenna.
havaittuja	havait-tu-j-a	4	Hän on tutkinut havaittuja ilmiöitä luonnossa.
henkilötyövuoden	henkilö-työ-vuode-n	4	Yritys käytti viime vuonna yhteensä 500 henkilötyövuoden verran työvoimaa.
jäädäkseen	jääd-ä-kse-en	4	Hän opiskeli ahkerasti ranskaa jäädäkseen Kanadaan.
jaksaisikohan	jaksa-isi-ko-han	4	Jaksaisikohan hän kävellä koko matkan kotiin?
johtuisikohan	johtu-isi-ko-han	4	Johtuisikohan tämä ongelma vanhentuneesta ohjelmistosta?
johtuiskohan	johtu-is-ko-han	4	Johtuiskohan tämä ongelma vanhentuneesta ohjelmistosta?
kannattaisikohan	kannatta-isi-ko-han	4	Kannattaisikohan minun opiskella suomea?
kävisköhän	käv-is-kö-hän	4	Kävisköhän äidille, että kutsuisin hänet tänne väitöstilaisuuteeni.
kehitettyjen	kehitet-ty-j-en	4	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
kiusallaankin	kiusa-lla-an-kin	4	Hän teki sen kiusallaankin, vaikka tiesi sen olevan väärin.
kummallakohan	kumma-lla-ko-han	4	Kummallakohan puolella tie on kuoppaisempi?
kuulostipas	kuulost-i-pa-s	4	Kuulostipas mielenkiintoiselta!
kuulunkohan	kuulu-n-ko-han	4	Kuulunkohan minä tähän ryhmään?
lähteeköhän	lähte-e-kö-hän	4	Lähteeköhän tästä autosta rengas irti jos painan tuosta?
liikepankkien	liike-pankk-i-en	4	Liikepankkien rooli taloudessa on merkittävä.
listataanpas	lista-taan-pa-s	4	Listataanpas kaikki tehtävät, jotka meidän on vielä suoritettava.
loppuisikohan	loppu-isi-ko-han	4	Loppuisikohan tämä sade pian?
määrärahojen	määrä-raho-j-en	4	Hallitus keskustelee ensi viikolla määrärahojen jakamisesta eri ministeriöille.
mahdatkohan	mahda-t-ko-han	4	Mahdatkohan tietää, minne minun pitäisi mennä päästäkseni Helsinkiin?
mahtaisikohan	mahta-isi-ko-han	4	Mahtaisikohan hän tulla juhliin?
mahtaiskohan	mahta-is-ko-han	4	Mahtaiskohan hän tulla huomenna töihin?
merkitseeköhän	merkitse-e-kö-hän	4	Merkitseeköhän se, että suomen kieli on peräisin Siperiasta?
monenkohan	mone-n-ko-han	4	Monenkohan kerran olen unohtanut avaimeni kotiin?
muillekin	mu-i-lle-kin	4	Tämä paikka on tarkoitettu sinulle ja muillekin.
muistinkohan	muisti-n-ko-han	4	Muistinkohan sammuttaa kahvinkeittimen ennen kuin lähdin töihin?
näkeeköhän	näke-e-kö-hän	4	Näkeeköhän hän minut täältä?
näkyvimpiin	näkyv-imp-i-in	4	Hän nousi yrityksensä näkyvimpiin rooleihin.
ohittaakohan	ohitta-a-ko-han	4	Ohittaakohan hän minut tässä kilpailussa?
olikohan	ol-i-ko-han	4	Olikohan hän todella siellä?
ollaankohan	ol-laan-ko-han	4	Ollaankohan me jo myöhässä?
