raskaimmillaankin	Vaikka työ on raskaimmillaankin, hän ei koskaan valita.
kehnoimmillaankin	Kehnoimmillaankin hän on parempi kuin monet muut.
halvimmillaankin	Tämä tuote on halvimmillaankin liian kallis minulle.
huonoimmillaankin	Huonoimmillaankin hän on parempi kuin monet muut.
rumpusooloillaankin	Vaikka olemme yhtyeessä, joskus me rumpusooloillaankin.
heikoimmillaankin	Vaikka olemme heikoimmillaankin, meidän on jatkettava eteenpäin.
hinnakkaimmillaankin	Vaikka tuote on hinnakkaimmillaankin laadukas, en ole varma, onko se sen arvoinen.
kovimmillaankin	Kovimmillaankin talvella, hän käy ulkona joka päivä.
nopeimmillaankin	Nopeimmillaankin hän tarvitsee vähintään tunnin valmistautua.
hitaimmillaankin	Hitaimmillaankin hän saapui ajoissa kokoukseen.
kalleimmillaankin	Kalleimmillaankin tämä auto on edullisempi kuin muut markkinoilla olevat mallit.
kauneimmillaankin	Vaikka olet kauneimmillaankin, sinun täytyy silti olla ystävällinen kaikille.
suurimmillaankin	Vaikka olemme suurimmillaankin vain pieni osa maailmaa, voimme tehdä suuren eron.
matalimmillaankin	Vaikka olemme matalimmillaankin, meidän on jatkettava eteenpäin.
rohkeimmillaankin	Rohkeimmillaankin hän epäröi ennen kuin astui sisään pimeään luolaan.
