EU-vaalien	EU-vaalien tulokset julkaistaan huomenna.
auttaisikohan	Auttaisikohan se, jos soittaisin tekniseen tukeen?
ennallistamissääntelylle	Hallitus on asettanut uusia rajoituksia ennallistamissääntelylle.
jäädäkseen	Hän opiskeli ahkerasti jäädäkseen luokalleen.
ajattelikohan	Ajattelikohan hän koskaan palata kotiin?
johtuiskohan	Johtuiskohan tämä ongelma vanhentuneesta ohjelmistosta?
havaittuja	Hän on tutkinut havaittuja ilmiöitä luonnossa.
ajattelevia	Hän haluaa ympäröidä itsensä ajattelevia ihmisiä.
kummallakohan	Kummallakohan puolella tie on kuoppaisempi?
aiheuttaakohan	Aiheuttaakohan tämä lääke sivuvaikutuksia?
esitutkintapöytäkirjat	Poliisi on saanut valmiiksi esitutkintapöytäkirjat tapauksesta.
kannattaisikohan	Kannattaisikohan minun opiskella suomea?
henkilötyövuoden	Yritys käytti viime vuonna yhteensä 500 henkilötyövuoden verran työvoimaa.
kehitettyjen	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
ehtisköhän	Ehtisköhän hän vielä ostaa ruokaa ennen kaupan sulkemista?
kiusallaankin	Hän teki sen kiusallaankin, vaikka tiesi sen olevan väärin.
johtuisikohan	Johtuisikohan tämä ongelma vanhentuneesta ohjelmistosta?
jaksaisikohan	Jaksaisikohan hän kävellä koko matkan kotiin?
äännevaihteluiden	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
kävisköhän	Kävisköhän sinulle, jos tulisimme kylään ensi viikonloppuna?
kuulostipas	Se kuulostipas mielenkiintoiselta!
kuulunkohan	Kuulunkohan minä tähän ryhmään?
liikepankkien	Liikepankkien rooli taloudessa on merkittävä.
listataanpas	Listataanpas kaikki tehtävät, jotka meidän on vielä suoritettava.
lähteeköhän	Lähteeköhän hän kanssani elokuviin tänä iltana?
loppuisikohan	Loppuisikohan tämä sade pian?
mahdatkohan	Mahdatkohan sinulla olla aikaa auttaa minua huomenna?
mahtaiskohan	Mahtaiskohan hän tulla huomenna töihin?
määrärahojen	Hallitus keskustelee ensi viikolla määrärahojen jakamisesta eri ministeriöille.
merkitseeköhän	Merkitseeköhän se, että hän ei ole vielä vastannut viestiini?
mahtaisikohan	Mahtaisikohan hän tulla juhliin?
monenkohan	Monenkohan kerran olen unohtanut avaimeni kotiin?
ollaankohan	Ollaankohan me jo myöhässä?
olikohan	Olikohan hän todella siellä?
näkeeköhän	Näkeeköhän hän minut täältä?
muillekin	Tämä paikka on tarkoitettu sinulle ja muillekin.
ohittaakohan	Ohittaakohan hän minut tässä kilpailussa?
näkyvimpiin	Hän nousi yrityksensä näkyvimpiin rooleihin.
ollaanpas	Ollaanpas me onnellisia tästä uudesta kodista.
muistinkohan	Muistinkohan sammuttaa kahvinkeittimen ennen kuin lähdin töihin?
oonkohan	Oonkohan unohtanut avaimeni kotiin?
osoittavinaan	Hän käveli ympäriinsä osoittavinaan tietävänsä, minne oli menossa.
otsallaankin	Hänellä on hiki otsallaankin työskennellessään kovasti.
otetaanpas	Otetaanpas hetki aikaa ja mietitään tätä rauhassa.
painaakohan	Painaakohan tuo nappi oikeasti jotain?
päästäänköhän	Päästäänköhän me tänään jo kotiin?
pidelläänköhän	Pidelläänköhän tätä esinettä varovasti?
pidettyjen	Tämä on luettelo pidettyjen konferenssien joukosta.
pystyisköhän	Pystyisköhän hän auttamaan minua tässä projektissa?
päivittäistavarakaupan	Hän työskentelee päivittäistavarakaupan kassalla.
presidentinvaaleissa	Hän aikoo äänestää seuraavissa presidentinvaaleissa.
punaviinien	Punaviinien maistelu on yksi suosikkiharrastuksistani.
raha-asioiden	Hän on erittäin taitava hoitamaan raha-asioiden kanssa.
silmiään	Hän hieroi väsyneitä silmiään.
sanoiskohan	Sanoiskohan hän minulle totuuden, jos kysyisin suoraan?
siskollaankin	Vaikka hän onkin jo aikuinen, hän asuu vielä siskollaankin.
sanotaanpas	Sanotaanpas, että meillä on kaikki tarvittava onnistuneeseen päivään.
täyttäviä	Etsin täyttäviä aterioita pitkälle työpäivälle.
säännönmukaisuuksia	Tutkimuksessa havaittiin useita säännönmukaisuuksia ilmiöiden välillä.
tiedätteköhän	Tiedätteköhän, missä lähin ruokakauppa on?
suomalaisäänestäjistä	Suomalaisäänestäjistä suurin osa kannattaa ympäristönsuojelua.
tulkaapas	Tulkaapas tänne, minulla on teille jotain näytettävää.
unohtuukohan	Unohtuukohan hän avaimet kotiin?
tilintarkastustuomioistuimeen	Hän jätti hakemuksen työskennellä tilintarkastustuomioistuimeen.
tietoverkkojen	Tietoverkkojen turvallisuus on nyky-yhteiskunnassa erittäin tärkeää.
vaikutusvaltaisimman	Hän on yksi maamme vaikutusvaltaisimman yrityksen johtajista.
vaaliuurnilta	Äänestysliput kerättiin huolellisesti vaaliuurnilta.
yliopistojen	Yliopistojen rooli yhteiskunnassa on erittäin tärkeä.
